,0
0,6
1,5
2,6
3,6
4,5
5,5
6,6
7,5
8,5
9,6
10,7
11,6
12,6
13,5
14,5
15,6
16,6
17,6
18,5
19,6
20,6
21,5
22,4
23,5
24,5
25,5
26,5
27,5
28,6
29,6
30,5
31,6
32,5
33,6
34,5
35,6
36,5
37,5
38,5
39,6
40,5
41,5
42,5
43,5
44,7
45,5
46,5
47,5
48,5
49,7
50,6
51,8
52,5
53,5
54,6
55,6
56,5
57,6
58,5
59,6
60,5
61,5
62,5
63,6
64,7
65,5
66,5
67,6
68,6
69,6
70,6
71,5
72,6
73,6
74,6
75,6
76,6
77,6
78,5
79,4
80,7
81,6
82,4
83,5
84,5
85,7
86,6
87,6
88,5
89,6
90,5
91,6
92,7
93,5
94,5
95,7
96,5
97,5
98,6
99,5
100,6
101,5
102,6
103,5
104,5
105,6
106,6
107,6
108,5
109,5
110,6
111,6
112,6
113,6
114,5
115,7
116,7
117,5
118,6
119,5
120,5
121,5
122,5
123,5
124,7
125,5
126,5
127,6
128,7
129,6
130,6
131,6
132,6
133,7
134,7
135,5
136,6
137,5
138,6
139,5
140,6
141,6
142,5
143,7
144,6
145,5
146,8
147,5
148,5
149,5
150,4
151,6
152,6
153,5
154,5
155,5
156,6
157,5
158,5
159,6
160,6
161,6
162,5
163,6
164,6
165,6
166,6
167,6
168,5
169,6
170,5
171,6
172,6
173,5
174,6
175,7
176,5
177,5
178,5
179,6
180,5
181,5
182,5
183,7
184,6
185,6
186,5
187,5
188,5
189,5
190,5
191,6
192,5
193,5
194,6
195,4
196,5
197,6
198,5
199,5
200,7
201,5
202,6
203,7
204,6
205,5
206,6
207,6
208,6
209,6
210,5
211,6
212,5
213,6
214,6
215,5
216,7
217,6
218,6
219,5
220,6
221,6
222,5
223,6
224,5
225,5
226,5
227,6
228,7
229,5
230,5
231,7
232,5
233,6
234,5
235,7
236,5
237,5
238,6
239,5
240,7
241,6
242,6
243,5
244,6
245,7
246,6
247,5
248,5
249,6
250,6
251,6
252,6
253,5
254,5
255,6
256,6
257,7
258,5
259,8
260,5
261,6
262,7
263,6
264,7
265,6
266,6
267,5
268,6
269,6
270,6
271,5
272,5
273,5
274,5
275,5
276,5
277,5
278,5
279,6
280,8
281,6
282,6
283,6
284,5
285,5
286,6
287,6
288,7
289,6
290,6
291,4
292,6
293,6
294,5
295,6
296,4
297,6
298,7
299,6
300,6
301,6
302,6
303,4
304,6
305,7
306,7
307,7
308,6
309,5
310,5
311,7
312,5
313,5
